Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond (10-year),Gold*,年平均收益率（名义）,
1928,43.81%,3.08%,0.84%,0.10%,11.96%,
1929,-8.30%,3.16%,4.20%,-0.15%,-0.27%,
1930,-25.12%,4.55%,4.54%,0.10%,-3.98%,
1931,-43.84%,2.31%,-2.56%,-17.38%,-15.37%,
1932,-8.64%,1.07%,8.79%,21.28%,5.62%,
1933,49.98%,0.96%,1.86%,27.26%,20.01%,
1934,-1.19%,0.28%,7.96%,31.75%,9.70%,
1935,46.74%,0.17%,4.47%,0.43%,12.95%,
1936,31.94%,0.17%,5.02%,0.09%,9.30%,
1937,-35.34%,0.28%,1.38%,-0.23%,-8.48%,
1938,29.28%,0.07%,4.21%,0.17%,8.43%,
1939,-1.10%,0.05%,4.41%,-1.23%,0.53%,
1940,-10.67%,0.04%,5.40%,-1.66%,-1.72%,
1941,-12.77%,0.13%,-2.02%,0.00%,-3.67%,
1942,19.17%,0.34%,2.29%,0.00%,5.45%,
1943,25.06%,0.38%,2.49%,0.00%,6.98%,
1944,19.03%,0.38%,2.58%,0.00%,5.50%,
1945,35.82%,0.38%,3.80%,2.54%,10.64%,
1946,-8.43%,0.38%,3.13%,0.00%,-1.23%,
1947,5.20%,0.60%,0.92%,0.00%,1.68%,
1948,5.70%,1.05%,1.95%,0.00%,2.18%,
1949,18.30%,1.12%,4.66%,-8.70%,3.85%,
1950,30.81%,1.20%,0.43%,9.56%,10.50%,
1951,23.68%,1.52%,-0.30%,0.00%,6.23%,
1952,18.15%,1.72%,2.27%,-0.35%,5.45%,
1953,-1.21%,1.89%,4.14%,0.69%,1.38%,
1954,52.56%,0.94%,3.29%,0.57%,14.34%,
1955,32.60%,1.72%,-1.34%,-0.03%,8.24%,
1956,7.44%,2.62%,-2.26%,-0.11%,1.92%,
1957,-10.46%,3.22%,6.80%,-0.11%,-0.14%,
1958,43.72%,1.77%,-2.10%,0.43%,10.95%,
1959,12.06%,3.39%,-2.65%,0.00%,3.20%,
1960,0.34%,2.87%,11.64%,0.48%,3.83%,
1961,26.64%,2.35%,2.06%,-0.06%,7.75%,
1962,-8.81%,2.77%,5.69%,-0.06%,-0.10%,
1963,22.61%,3.16%,1.68%,-0.40%,6.76%,
1964,16.42%,3.55%,3.73%,0.03%,5.93%,
1965,12.40%,3.95%,0.72%,0.06%,4.28%,
1966,-9.97%,4.86%,2.91%,0.03%,-0.54%,
1967,23.80%,4.29%,-1.58%,-0.51%,6.50%,
1968,10.81%,5.34%,3.27%,12.47%,7.98%,
1969,-8.24%,6.67%,-5.01%,5.01%,-0.39%,
1970,3.56%,6.39%,16.75%,-9.45%,4.31%,
1971,14.22%,4.33%,9.79%,16.69%,11.26%,
1972,18.76%,4.06%,2.82%,48.78%,18.61%,
1973,-14.31%,7.04%,3.66%,72.96%,17.34%,
1974,-25.90%,7.85%,1.99%,66.15%,12.52%,
1975,37.00%,5.79%,3.61%,-24.80%,5.40%,
1976,23.83%,4.98%,15.98%,-4.10%,10.17%,
1977,-6.98%,5.26%,1.29%,22.64%,5.55%,
1978,6.51%,7.18%,-0.78%,37.01%,12.48%,
1979,18.52%,10.05%,0.67%,126.55%,38.95%,
1980,31.74%,11.39%,-2.99%,15.19%,13.83%,
1981,-4.70%,14.04%,8.20%,-32.60%,-3.77%,
1982,20.42%,10.60%,32.81%,15.62%,19.86%,
1983,22.34%,8.62%,3.20%,-16.80%,4.34%,
1984,6.15%,9.54%,13.73%,-19.38%,2.51%,
1985,31.24%,7.47%,25.71%,6.00%,17.60%,
1986,18.49%,5.97%,24.28%,18.96%,16.93%,
1987,5.81%,5.78%,-4.96%,24.53%,7.79%,
1988,16.54%,6.67%,8.22%,-15.26%,4.04%,
1989,31.48%,8.11%,17.69%,-2.84%,13.61%,
1990,-3.06%,7.50%,6.24%,-3.11%,1.89%,
1991,30.23%,5.38%,15.00%,-8.56%,10.51%,
1992,7.49%,3.43%,9.36%,-5.73%,3.64%,
1993,9.97%,3.00%,14.21%,17.68%,11.21%,
1994,1.33%,4.25%,-8.04%,-2.17%,-1.16%,
1995,37.20%,5.49%,23.48%,0.98%,16.79%,
1996,22.68%,5.01%,1.43%,-4.59%,6.13%,
1997,33.10%,5.06%,9.94%,-21.41%,6.67%,
1998,28.34%,4.78%,14.92%,-0.83%,11.80%,
1999,20.89%,4.64%,-8.25%,0.85%,4.53%,
2000,-9.03%,5.82%,16.66%,-5.44%,2.00%,
2001,-11.85%,3.40%,5.57%,0.75%,-0.53%,
2002,-21.97%,1.61%,15.12%,25.57%,5.08%,
2003,28.36%,1.01%,0.38%,19.89%,12.41%,
2004,10.74%,1.37%,4.49%,4.65%,5.31%,
2005,4.83%,3.15%,2.87%,17.77%,7.15%,
2006,15.61%,4.73%,1.96%,23.20%,11.38%,
2007,5.48%,4.36%,10.21%,31.92%,12.99%,
2008,-36.55%,1.37%,20.10%,4.32%,-2.69%,
2009,25.94%,0.15%,-11.12%,25.04%,10.00%,
2010,14.82%,0.14%,8.46%,29.24%,13.17%,
2011,2.10%,0.05%,16.04%,12.02%,7.55%,
2012,15.89%,0.09%,2.97%,5.68%,6.16%,
2013,32.15%,0.06%,-9.10%,-27.61%,-1.13%,
2014,13.52%,0.03%,10.75%,0.12%,6.11%,
2015,1.38%,0.05%,1.28%,-12.11%,-2.35%,
2016,11.77%,0.32%,0.69%,8.10%,5.22%,
2017,21.61%,0.93%,2.80%,12.66%,9.50%,
2018,-4.23%,1.94%,-0.02%,-0.93%,-0.81%,
2019,31.21%,2.06%,9.64%,19.08%,15.50%,
2020,18.02%,0.35%,11.33%,24.17%,13.47%,
2021,28.47%,0.05%,-4.42%,-3.75%,5.09%,
2022,-18.04%,2.02%,-17.83%,0.55%,-8.32%,
2023,26.06%,5.07%,3.88%,13.26%,12.07%,
2024,24.88%,4.97%,-1.64%,25.96%,13.54%,
